nomcreateur,datenaissance,datemort,nationalité,lieunaissance,lieumort,mouvement
Jacques Auguste Regnier,1787-08-30T00:00:00Z,1860-06-02T00:00:00Z,France,Paris,Paris,romantisme
Jules Chéret,1836-06-01T00:00:00Z,1932-09-23T00:00:00Z,"France,France",Paris,Nice,Art nouveau
Henry Moret,1856-12-12T00:00:00Z,1913-05-05T00:00:00Z,"France,France",Cherbourg,Paris,impressionnisme
Jacques Buirette,1655-01-01T00:00:00Z,1699-03-03T00:00:00Z,France,Paris,Paris,classicisme
Maurice Utrillo,1883-12-26T00:00:00Z,1955-11-05T00:00:00Z,France,Montmartre,Dax,École de Paris
Antoine Étex,1808-03-20T00:00:00Z,1888-07-14T00:00:00Z,France,Paris,Chaville,
Arnould de Vuez,1642-03-10T00:00:00Z,1720-06-18T00:00:00Z,France,Saint-Omer,Lille,baroque
Michael Sweerts,1618-09-01T00:00:00Z,1664-01-01T00:00:00Z,Pays-Bas méridionaux,Bruxelles,Goa,baroque
Georges Maroniez,1865-01-17T00:00:00Z,1933-12-11T00:00:00Z,France,Douai,Paris,réalisme
Florentin Damoiselet,,,France,,,
Henri Pontoy,,,France,,,
Jacqueline Marval,1866-10-19T00:00:00Z,1932-05-28T00:00:00Z,France,Quaix-en-Chartreuse,Paris,
Georges de La Tour,1593-03-13T00:00:00Z,1652-01-30T00:00:00Z,"duché de Lorraine,duché de Lorraine",Vic-sur-Seille,Lunéville,caravagisme
George Frederic Watts,1817-02-23T00:00:00Z,1904-07-01T00:00:00Z,"Royaume-Uni,Royaume-Uni de Grande-Bretagne et d'Irlande",Londres,Compton,art académique
Hacynthe rigaud,1659-07-18T00:00:00Z,1743-12-29T00:00:00Z,"France,France,Principauté de Catalogne,Principauté de Catalogne",Perpignan,Paris,peinture baroque
Félix Bracquemond,1833-05-22T00:00:00Z,1914-10-29T00:00:00Z,"France,France",Paris,Sèvres,
Jean-François-Léonor Mérimée,,,France,,,
Jean Alaux,1786-01-15T00:00:00Z,1864-03-02T00:00:00Z,France,Bordeaux,Paris,
François Flameng,1856-12-06T00:00:00Z,1923-02-28T00:00:00Z,France,Paris,11e arrondissement de Paris,
Jacques-Jean Barre,1793-08-03T00:00:00Z,1855-06-10T00:00:00Z,France,Paris,Paris,
Georges Mathieu,1921-01-27T00:00:00Z,2012-06-10T00:00:00Z,France,Boulogne-sur-Mer,Paris,Expressionnisme abstrait
François-Joseph Heim,1787-12-16T00:00:00Z,1865-09-29T00:00:00Z,France,Belfort,6e arrondissement de Paris,
Aureliano de Beruete,1845-09-27T00:00:00Z,1912-01-05T00:00:00Z,Espagne,Madrid,Madrid,
Nicolas Poussin,1594-06-01T00:00:00Z,1665-11-19T00:00:00Z,France,Les Andelys,Rome,classicisme
Jean-Baptiste de La Rose,1612-01-01T00:00:00Z,1687-01-01T00:00:00Z,France,Marseille,Toulon,
Albert Besnard,1849-06-02T00:00:00Z,1934-12-04T00:00:00Z,France,7e arrondissement de Paris,Paris,
Pierre Justin Ouvrié,1806-01-19T00:00:00Z,1879-10-23T00:00:00Z,France,Paris,Rouen,
Simon Vouet,1590-01-09T00:00:00Z,1649-06-30T00:00:00Z,France,Paris,Paris,peinture baroque
Gustave Moreau,1826-04-06T00:00:00Z,1898-04-18T00:00:00Z,"France,France",Paris,Rennes,symbolisme
Jean-Baptiste Isabey,1767-04-11T00:00:00Z,1855-04-18T00:00:00Z,France,Nancy,Paris,
Jean-Charles Tardieu,1765-09-03T00:00:00Z,1830-04-03T00:00:00Z,France,Paris,Paris,
Théodore Chassériau,,,France,,,romantisme
Marcelle Cahn,1895-03-01T00:00:00Z,1981-09-20T00:00:00Z,France,Strasbourg,Neuilly-sur-Seine,purisme
Jean-Victor Bertin,1767-03-20T00:00:00Z,1842-06-11T00:00:00Z,France,Paris,Paris,
Félix-Hippolyte Lanoüe,1812-10-14T00:00:00Z,1872-01-21T00:00:00Z,France,Versailles,Versailles,
Francisco de Zurbarán,1598-11-07T00:00:00Z,1664-08-27T00:00:00Z,Espagne,Fuente de Cantos,Madrid,baroque
Henri-Pierre Danloux,1753-02-24T00:00:00Z,1809-01-03T00:00:00Z,France,Paris,Paris,
Jean-Eugène Buland,1852-10-26T00:00:00Z,1926-03-18T00:00:00Z,France,Paris,Charly-sur-Marne,Naturalisme
Jacques-Édouard Gatteaux,1788-11-04T00:00:00Z,1881-02-08T00:00:00Z,France,Paris,Paris,
François-Louis Français,1814-11-17T00:00:00Z,1897-05-28T00:00:00Z,"France,France",Plombières-les-Bains,Paris,École de Barbizon
Maxime Maufra,1861-05-17T00:00:00Z,1918-05-23T00:00:00Z,France,Nantes,Poncé-sur-le-Loir,École de Pont-Aven
Pierre-Paul Prud'hon,1758-04-04T00:00:00Z,1823-02-16T00:00:00Z,France,Cluny,Paris,
Jacques-Émile Blanche,1861-02-01T00:00:00Z,1942-09-30T00:00:00Z,"France,France",16e arrondissement de Paris,Offranville,
Jules Coignet,1798-11-02T00:00:00Z,1860-04-01T00:00:00Z,France,Paris,Paris,École de Barbizon
Louis-Maurice Boutet de Monvel,1850-10-18T00:00:00Z,1913-03-16T00:00:00Z,France,Orléans,7e arrondissement de Paris,
Rosalba Carriera,1675-10-07T00:00:00Z,1757-04-15T00:00:00Z,république de Venise,Venise,Venise,rococo
Eugène Ernest Hillemacher,1818-10-13T00:00:00Z,1887-03-03T00:00:00Z,France,Paris,Paris,art académique
André Devambez,1867-05-26T00:00:00Z,1944-03-18T00:00:00Z,France,1er arrondissement de Paris,Paris,
Horace Vernet,1789-06-30T00:00:00Z,1863-01-17T00:00:00Z,France,Paris,Paris,romantisme
Augustin Théodule Ribot,1823-08-08T00:00:00Z,1891-09-11T00:00:00Z,France,Saint-Nicolas-d'Attez,Colombes,réalisme
Jan Frans van Bloemen,1662-05-12T00:00:00Z,1749-06-13T00:00:00Z,Pays-Bas méridionaux,Anvers,Rome,peinture baroque flamande
Augustin-Louis Belle,1757-01-01T00:00:00Z,1841-01-12T00:00:00Z,France,Paris,Paris,
Giovanni Battista Salvi da Sassoferrato,1609-08-29T00:00:00Z,1685-08-08T00:00:00Z,"États pontificaux,États pontificaux",Sassoferrato,Rome,baroque
Johan August Strindberg,1849-01-22T00:00:00Z,1912-05-14T00:00:00Z,Suède,Storkyrkoförsamlingen,paroisse Adolphe-Frédéric,naturalisme
Victor Vasarely,1908-04-09T00:00:00Z,1997-03-15T00:00:00Z,"France,France,royaume de Hongrie,royaume de Hongrie,France,France,royaume de Hongrie,royaume de Hongrie",Pécs,Paris,pop art
Guillaume Régamey,1837-09-22T00:00:00Z,1875-01-03T00:00:00Z,France,Paris,Paris,
François-Hubert Drouais,1727-12-14T00:00:00Z,1775-10-21T00:00:00Z,France,Paris,Paris,
Berthe Morisot,1841-01-14T00:00:00Z,1895-03-02T00:00:00Z,France,Bourges,Paris,impressionnisme
Louis Welden Hawkins,1849-07-01T00:00:00Z,1910-05-01T00:00:00Z,"France,Royaume-Uni de Grande-Bretagne et d'Irlande",Esslingen am Neckar,Paris,symbolisme
Émile-François Chatrousse,1829-03-06T00:00:00Z,1896-12-14T00:00:00Z,France,Paris,Paris,
Raoul Dufy,1877-06-03T00:00:00Z,1953-03-23T00:00:00Z,France,Le Havre,Forcalquier,fauvisme
Andrea Celesti,1637-01-01T00:00:00Z,1712-01-01T00:00:00Z,république de Venise,Venise,Toscolano-Maderno,
Charles Camoin,1879-09-23T00:00:00Z,1965-05-20T00:00:00Z,France,Marseille,Paris,
Marie d'Orléans,1813-04-12T00:00:00Z,1839-01-06T00:00:00Z,France,Palerme,Pise,
Noël Hallé,1711-09-02T00:00:00Z,1781-06-05T00:00:00Z,France,Paris,Paris,
Pierre Le Gros l'aîné,1629-05-27T00:00:00Z,1714-05-11T00:00:00Z,France,Chartres,Paris,
Carle Vernet,1758-08-14T00:00:00Z,1836-11-27T00:00:00Z,France,Bordeaux,Paris,
Jean-Augustin Franquelin,1798-09-01T00:00:00Z,1839-01-04T00:00:00Z,France,Paris,Paris,
Georg Herold,,,Allemagne,,,art contemporain
Ferdinand Roybet,1840-04-12T00:00:00Z,1920-04-11T00:00:00Z,France,Uzès,17e arrondissement de Paris,orientalisme
Jacques-Philippe Bouchardon,1711-05-01T00:00:00Z,1753-12-19T00:00:00Z,France,Chaumont,Stockholm,
Laurent Marqueste,1848-06-12T00:00:00Z,1920-04-05T00:00:00Z,France,Toulouse,Paris,
Alfred Beau,1829-07-23T00:00:00Z,1907-02-11T00:00:00Z,France,Morlaix,Quimper,
Giuseppe Arcimboldo,1527-01-01T00:00:00Z,1593-07-11T00:00:00Z,duché de Milan,Milan,Milan,maniérisme
Maître de Coëtivy,,,France,,,
Maître de Flore,,,France,,,
Emmanuel Benner,1836-03-28T00:00:00Z,1896-09-24T00:00:00Z,France,Mulhouse,Nantes,
Marcus Antonius Gordianus,0225-01-20T00:00:00Z,0244-02-11T00:00:00Z,Rome antique,Rome,Circesium,
François-Émile Michel,1828-07-19T00:00:00Z,1909-05-24T00:00:00Z,France,Metz,Paris,
Jules Ramey,1796-05-24T00:00:00Z,1852-10-29T00:00:00Z,France,Paris,Paris,romantisme
André Mériel-Bussy,1902-01-11T00:00:00Z,1984-10-29T00:00:00Z,France,Fougères,Finistère,
Marco Zoppo,1433-01-01T00:00:00Z,1478-01-01T00:00:00Z,"république de Venise,États pontificaux",Cento,Venise,
Peter Franchoys,1606-10-20T00:00:00Z,1654-08-11T00:00:00Z,Pays-Bas méridionaux,Malines,Malines,peinture baroque flamande
Charles Fouqueray,1869-04-23T00:00:00Z,1956-03-28T00:00:00Z,France,Le Mans,Paris,
Abel de Pujol,1785-01-30T00:00:00Z,1861-09-28T00:00:00Z,France,Valenciennes,Paris,
Jean Bertholle,1909-06-26T00:00:00Z,1996-12-06T00:00:00Z,France,Dijon,Paris,
Mary Cassatt,1845-05-22T00:00:00Z,1926-06-14T00:00:00Z,"États-Unis,États-Unis",Allegheny,Le Mesnil-Théribus,impressionnisme
Henry Tenré,1864-01-01T00:00:00Z,1926-01-01T00:00:00Z,"France,France",Paris,Paris,
Léon Cogniet,1794-08-29T00:00:00Z,1880-11-20T00:00:00Z,France,Paris,10e arrondissement de Paris,romantisme
Mathias Grünewald,1480-01-01T00:00:00Z,1528-09-10T00:00:00Z,"Allemagne,Allemagne",Wurtzbourg,Halle-sur-Saale,Renaissance allemande
Alfred de Dreux,1810-03-23T00:00:00Z,1860-03-05T00:00:00Z,France,Paris,Paris,
Jean-François-Théodore Gechter,1796-01-01T00:00:00Z,1844-01-01T00:00:00Z,"France,France",Paris,Paris,
Henri Rouart,1833-10-02T00:00:00Z,1912-01-02T00:00:00Z,France,Paris,Paris,impressionnisme
Carl Spitzweg,1808-02-05T00:00:00Z,1885-09-23T00:00:00Z,Allemagne,Munich,Munich,romantisme tardif
Paul Merwart,,,"Pologne,France,Empire russe",,,
Léon Riesener,1808-01-21T00:00:00Z,1878-05-25T00:00:00Z,France,Paris,Paris,romantisme
Maarten van Heemskerck,1498-06-10T00:00:00Z,1574-10-11T00:00:00Z,"Pays-Bas,Pays-Bas,Pays-Bas,Pays-Bas",Heemskerk,Haarlem,maniérisme
Charles Jalabert,1818-12-25T00:00:00Z,1901-03-08T00:00:00Z,France,Nîmes,Paris,
John Lavery,1856-03-20T00:00:00Z,1941-01-10T00:00:00Z,"Royaume-Uni,Royaume-Uni de Grande-Bretagne et d'Irlande",Belfast,Kilkenny,
Jules Dupré,1811-04-05T00:00:00Z,1889-10-06T00:00:00Z,France,Nantes,L'Isle-Adam,École de Barbizon
Pompeo Girolamo Battoni,1708-01-25T00:00:00Z,1787-02-04T00:00:00Z,Italie,Lucques,Rome,classicisme
Alexandre Cabanel,1823-09-28T00:00:00Z,1889-01-23T00:00:00Z,France,Montpellier,Paris,art académique
Jean Chalette,1581-01-01T00:00:00Z,1643-01-01T00:00:00Z,France,Troyes,Toulouse,
Anna Elizabeth Klumpke,1856-10-28T00:00:00Z,1942-02-09T00:00:00Z,États-Unis,San Francisco,San Francisco,
Francis Tattegrain,1852-10-11T00:00:00Z,1915-01-01T00:00:00Z,France,Péronne,Arras,Naturalisme
Diodore Rahoult,1819-12-02T00:00:00Z,1874-03-23T00:00:00Z,France,Grenoble,Grenoble,
Joseph Ducreux,1735-06-26T00:00:00Z,1802-07-24T00:00:00Z,France,Nancy,Paris,
Willem van Aelst,1627-05-16T00:00:00Z,1683-05-01T00:00:00Z,Provinces-Unies,Delft,Amsterdam,réalisme
Charles Le Brun,1619-02-24T00:00:00Z,1690-02-12T00:00:00Z,"France,France",Paris,Paris,baroque
Nicolas Coustou,1658-01-09T00:00:00Z,1733-05-01T00:00:00Z,France,Lyon,Paris,baroque
Allan Ramsay,1713-10-13T00:00:00Z,1784-08-10T00:00:00Z,royaume de Grande-Bretagne,Édimbourg,Douvres,classicisme
Daniel Richter,,,Allemagne,,,art contemporain
Marcus Antonius Gordianus Sempronianus Romanus Africanus,0159-01-01T00:00:00Z,0238-01-01T00:00:00Z,Rome antique,Phrygie,Carthage,
Jean Gaspard Félix Laché-Ravaisson-Mollien,1813-10-23T00:00:00Z,1900-05-18T00:00:00Z,France,Namur,Paris,
Alfred Sisley,1839-10-30T00:00:00Z,1899-01-29T00:00:00Z,"France,Royaume-Uni de Grande-Bretagne et d'Irlande",Paris,Moret-sur-Loing,impressionnisme
Charles Spindler,1865-03-11T00:00:00Z,1938-03-03T00:00:00Z,France,Bœrsch,Bœrsch,
Claude Viallat,,,France,,,
Charles Brocas,1774-01-01T00:00:00Z,1835-01-01T00:00:00Z,France,Toulouse,Paris,
Édouard Louis Dubufe,1819-04-02T00:00:00Z,1883-08-11T00:00:00Z,"France,France,France,France,France,France",Paris,Versailles,
Charles Thévenin,1764-07-12T00:00:00Z,1838-02-28T00:00:00Z,France,Paris,Paris,néo-classicisme
Jean-Joseph Dassy,1791-12-27T00:00:00Z,1865-07-27T00:00:00Z,France,Marseille,Marseille,
George Louis Poilleux Saint-Ange,,,France,,,
Francis Gruber,1912-03-15T00:00:00Z,1948-12-01T00:00:00Z,"France,France",Nancy,Paris,expressionnisme
Henri-Gabriel Ibels,1867-11-30T00:00:00Z,1936-02-01T00:00:00Z,France,10e arrondissement de Paris,10e arrondissement de Paris,nabi
Hans Memling,1435-01-01T00:00:00Z,1494-08-20T00:00:00Z,"Allemagne,Allemagne,Pays-Bas méridionaux,Pays-Bas méridionaux,Allemagne,Allemagne,Pays-Bas méridionaux,Pays-Bas méridionaux",Seligenstadt,Bruges,Primitif flamand
Hans Memling,1435-01-01T00:00:00Z,1494-08-20T00:00:00Z,"Allemagne,Allemagne,Allemagne,Pays-Bas méridionaux,Pays-Bas méridionaux,Pays-Bas méridionaux,Allemagne,Allemagne,Allemagne,Pays-Bas méridionaux,Pays-Bas méridionaux,Pays-Bas méridionaux",Seligenstadt,Bruges,Primitif flamand
Hans Memling,1435-01-01T00:00:00Z,1494-08-20T00:00:00Z,"Allemagne,Pays-Bas méridionaux,Allemagne,Pays-Bas méridionaux,Allemagne,Pays-Bas méridionaux,Allemagne,Pays-Bas méridionaux",Seligenstadt,Bruges,Primitif flamand
Hans Memling,1435-01-01T00:00:00Z,1494-08-20T00:00:00Z,"Allemagne,Pays-Bas méridionaux,Allemagne,Pays-Bas méridionaux",Seligenstadt,Bruges,Primitif flamand
Jean Martial Frédou,,,France,,,
Jean-Gabriel Charvet,,,France,,,
Giorgione,1478-01-01T00:00:00Z,1510-01-01T00:00:00Z,"république de Venise,république de Venise,république de Venise",Castelfranco Veneto,Venise,Renaissance
Ferdinand Heilbuth,1826-06-27T00:00:00Z,1889-11-19T00:00:00Z,"France,Allemagne",Hambourg,Paris,
Charles-Raphaël Maréchal,1825-04-20T00:00:00Z,1888-04-14T00:00:00Z,France,Metz,Nogent-sur-Marne,
François Verdier,1651-01-01T00:00:00Z,1730-06-20T00:00:00Z,France,Paris,Paris,
Pierre Adolphe Hall,1739-02-23T00:00:00Z,1793-05-15T00:00:00Z,"Suède,France",Borås,Liège,
Raimundo de Madrazo,1841-07-24T00:00:00Z,1920-09-15T00:00:00Z,"Espagne,royaume d'Italie",Rome,Versailles,réalisme
Pietro da Cortona,1596-11-01T00:00:00Z,1669-05-16T00:00:00Z,Italie,Cortone,Rome,baroque
Jacques Stella,1596-01-01T00:00:00Z,1657-04-29T00:00:00Z,royaume de France,Lyon,Paris,classicisme
Charles Desavary,1837-02-06T00:00:00Z,1885-06-10T00:00:00Z,France,Arras,Arras,
Théodore Caruelle d'Aligny,1798-01-24T00:00:00Z,1871-02-24T00:00:00Z,France,Saint-Aubin-des-Chaumes,Lyon,
Δομήνικος Θεοτοκόπουλος,1541-10-01T00:00:00Z,1614-04-07T00:00:00Z,"Espagne,république de Venise",Héraklion,Tolède,Renaissance espagnole
Johan Pauwelszoon Moreelse,1603-01-01T00:00:00Z,1634-01-01T00:00:00Z,Pays-Bas,Utrecht,Utrecht,baroque
François-Léon Benouville,1821-03-30T00:00:00Z,1859-02-16T00:00:00Z,France,Paris,Paris,art académique
Gustave Guillaumet,1840-03-26T00:00:00Z,1887-03-14T00:00:00Z,France,Puteaux,Paris,orientalisme
Christian Boltanski,,,France,,,art contemporain
Franz Xaver Winterhalter,1805-04-20T00:00:00Z,1873-07-08T00:00:00Z,"Empire allemand,Empire allemand",Menzenschwand,Francfort-sur-le-Main,art académique
Michel Corneille l'Ancien,1601-01-01T00:00:00Z,1664-06-13T00:00:00Z,France,Orléans,Paris,
Louis Abel-Truchet,1857-12-29T00:00:00Z,1918-09-09T00:00:00Z,France,Versailles,Auxerre,Belle Époque
Michel Colombe,1430-01-01T00:00:00Z,1513-01-01T00:00:00Z,France,Bourges,Bourges,
Camille Flers,1802-02-15T00:00:00Z,1868-06-26T00:00:00Z,France,Paris,Annet-sur-Marne,réalisme
François-Nicolas Delaistre,1746-03-09T00:00:00Z,1832-04-23T00:00:00Z,France,Paris,Paris,
Charles-Théodore Frère,1814-06-21T00:00:00Z,1888-03-24T00:00:00Z,France,Paris,Paris,orientalisme
Pierre Subleyras,1699-11-25T00:00:00Z,1749-05-28T00:00:00Z,France,Saint-Gilles,Rome,
Albert Durand,,,France,,,
John Singer Sargent,1856-01-12T00:00:00Z,1925-04-15T00:00:00Z,"États-Unis,États-Unis,Royaume-Uni,Royaume-Uni",Florence,Londres,impressionnisme
Christophe Veyrier,1637-06-25T00:00:00Z,1689-06-10T00:00:00Z,France,Trets,Toulon,
Israël Silvestre,1621-08-13T00:00:00Z,1691-10-11T00:00:00Z,"France,France,France,France",Nancy,Paris,
Gustav Klimt,1862-07-14T00:00:00Z,1918-02-06T00:00:00Z,"Autriche,Empire d'Autriche,Autriche,Empire d'Autriche,Autriche,Empire d'Autriche,Autriche,Empire d'Autriche",Baumgarten,Vienne,Art nouveau
Charles Despiau,1874-11-04T00:00:00Z,1946-10-30T00:00:00Z,"France,France",Mont-de-Marsan,Paris,
Clément Castelli,1870-01-14T00:00:00Z,1959-12-12T00:00:00Z,France,Premia,Paris,art académique
Jean-Marie Bonnassieux,1810-09-18T00:00:00Z,1892-06-03T00:00:00Z,"France,France",Panissières,Paris,
Pierre-Félix Masseau,1869-03-17T00:00:00Z,1937-04-16T00:00:00Z,France,Lyon,9e arrondissement de Paris,
Jacques Saly,1717-06-20T00:00:00Z,1776-05-04T00:00:00Z,France,Valenciennes,Paris,
Augustin Pajou,1730-09-19T00:00:00Z,1809-05-08T00:00:00Z,France,Paris,Paris,
Victor Vignon,1847-12-25T00:00:00Z,1909-03-15T00:00:00Z,France,Villers-Cotterêts,Meulan-en-Yvelines,
Gustave Brion,1824-10-24T00:00:00Z,1877-11-05T00:00:00Z,France,Rothau,14e arrondissement de Paris,
Georges Bottini,1874-02-01T00:00:00Z,1907-12-16T00:00:00Z,France,9e arrondissement de Paris,Villejuif,
Dominique Molknecht,1793-11-19T00:00:00Z,1876-05-07T00:00:00Z,"France,France",Überwasser,7e arrondissement de Paris,
Philibert-Louis Debucourt,1755-02-13T00:00:00Z,1832-09-22T00:00:00Z,France,Paris,Paris,
Jean-Louis Hamon,1821-05-05T00:00:00Z,1874-05-29T00:00:00Z,France,Plouha,Saint-Raphaël,néogrec
Henri Villain,1878-06-18T00:00:00Z,1938-11-26T00:00:00Z,France,Châteaudun,Chartres,
