nomcreateur,datenaissance,datemort,nationalité,lieunaissance,lieumort,mouvement
Tsugouharu Foujita,1886-11-27T00:00:00Z,1968-01-29T00:00:00Z,"Japon,France",Tokyo,Zurich,expressionnisme
Jean André,1662-01-01T00:00:00Z,1753-04-14T00:00:00Z,France,Paris,Paris,
Guillaume Descamps,1779-01-01T00:00:00Z,1858-12-25T00:00:00Z,France,Lille,Paris,
Félix Boisselier,1776-04-13T00:00:00Z,1811-01-12T00:00:00Z,France,Val-de-Meuse,Rome,
Guillaume Voiriot,1713-11-20T00:00:00Z,1799-11-30T00:00:00Z,France,Paris,Paris,
Henri Fantin-Latour,1836-01-25T00:00:00Z,1904-08-25T00:00:00Z,France,Grenoble,Buré,symbolisme
Auguste Vinchon,1789-08-05T00:00:00Z,1855-08-16T00:00:00Z,France,Paris,Bad Ems,
Ferdinand Perrot,1808-01-01T00:00:00Z,1841-01-01T00:00:00Z,France,Paimbœuf,Saint-Pétersbourg,
José de Ribera,1591-01-12T00:00:00Z,1652-09-03T00:00:00Z,Espagne,Xàtiva,Naples,baroque
Vittore Carpaccio,1465-01-01T00:00:00Z,1526-01-01T00:00:00Z,république de Venise,Venise,Venise,
Charles-Alphonse Du Fresnoy,1611-01-01T00:00:00Z,1668-01-16T00:00:00Z,France,Paris,Villiers-le-Bel,
Jules-Alexis Muenier,1863-11-29T00:00:00Z,1942-12-17T00:00:00Z,France,Lyon,Coulevon,
Jean-Germain Drouais,1763-11-25T00:00:00Z,1788-07-15T00:00:00Z,France,Paris,Rome,
Henri-Pierre Danloux,1753-02-24T00:00:00Z,1809-01-03T00:00:00Z,France,Paris,Paris,
Jean Gigoux,1806-01-08T00:00:00Z,1894-12-12T00:00:00Z,France,Besançon,Besançon,
Jacques Augustin,1759-08-15T00:00:00Z,1832-04-13T00:00:00Z,France,Saint-Dié-des-Vosges,Paris,
Walter Crane,1845-08-15T00:00:00Z,1915-03-14T00:00:00Z,Royaume-Uni de Grande-Bretagne et d'Irlande,Liverpool,Horsham,
Γιάννης Κουνέλλης,1936-03-23T00:00:00Z,2017-02-16T00:00:00Z,"Italie,Grèce,royaume d'Italie",Le Pirée,Rome,Arte Povera
Narcisse Chaillou,1835-03-12T00:00:00Z,1916-01-01T00:00:00Z,France,Nantes,Guémené-sur-Scorff,
Alexander Roslin,,,Suède,,,rococo
Francesco Guardi,1712-10-05T00:00:00Z,1793-01-01T00:00:00Z,république de Venise,Venise,Venise,rococo
Jean-Baptiste Mauzaisse,1784-11-01T00:00:00Z,1844-11-15T00:00:00Z,France,Corbeil-Essonnes,Paris,
Jean-Pierre Franque,1774-01-01T00:00:00Z,1860-01-01T00:00:00Z,France,Buis-les-Baronnies,Quintigny,
Pierre Adolphe Hall,1739-02-23T00:00:00Z,1793-05-15T00:00:00Z,"Suède,France",Borås,Liège,
Georges Jacquot,1794-02-15T00:00:00Z,1874-11-25T00:00:00Z,France,Nancy,Paris,
Sebastian Stoskopff,1597-07-13T00:00:00Z,1657-02-10T00:00:00Z,Saint-Empire romain germanique,Strasbourg,Idstein,
René Théodore Berthon,1776-07-17T00:00:00Z,1859-04-07T00:00:00Z,France,Tours,Paris,
Pierre-François Lehoux,1803-06-01T00:00:00Z,1892-01-01T00:00:00Z,France,Paris,Paris,
Pierre de Francqueville,1548-01-01T00:00:00Z,1616-01-01T00:00:00Z,France,Cambrai,Paris,maniérisme
Johannes Vermeer,1632-10-31T00:00:00Z,1675-12-15T00:00:00Z,Provinces-Unies,Delft,Delft,peinture baroque
Édouard Cibot,1799-02-11T00:00:00Z,1877-01-10T00:00:00Z,France,Paris,Paris,
Martin-Guillaume Biennais,1764-05-29T00:00:00Z,1843-03-27T00:00:00Z,France,La Cochère,Le Mesnil-Saint-Denis,
Willi Baumeister,1889-01-22T00:00:00Z,1955-08-31T00:00:00Z,Allemagne,Stuttgart,Stuttgart,
Bernard Lange,1754-08-07T00:00:00Z,1839-05-28T00:00:00Z,France,Toulouse,ancien 4e arrondissement de Paris,néo-classicisme
Charles Desavary,1837-02-06T00:00:00Z,1885-06-10T00:00:00Z,France,Arras,Arras,
Allan Ramsay,1713-10-13T00:00:00Z,1784-08-10T00:00:00Z,royaume de Grande-Bretagne,Édimbourg,Douvres,classicisme
Berthe Morisot,1841-01-14T00:00:00Z,1895-03-02T00:00:00Z,France,Bourges,Paris,impressionnisme
Peter Lely,1618-12-07T00:00:00Z,1680-11-30T00:00:00Z,Pays-Bas,Soest,Covent Garden,peinture baroque
Jean Marcellin,1821-05-24T00:00:00Z,1884-06-22T00:00:00Z,France,Gap,Paris,
Joseph-Benoît Suvée,1743-01-03T00:00:00Z,1807-02-09T00:00:00Z,"France,Pays-Bas méridionaux",Bruges,Rome,néo-classicisme
François Vernay,1821-11-02T00:00:00Z,1896-09-07T00:00:00Z,France,Lyon,Lyon,
Winslow Homer,1836-02-24T00:00:00Z,1910-09-29T00:00:00Z,États-Unis,Boston,Maine,réalisme
Mathias Grünewald,1480-01-01T00:00:00Z,1528-09-10T00:00:00Z,Allemagne,Wurtzbourg,Halle-sur-Saale,Renaissance allemande
Gaston Bussiere,1862-04-24T00:00:00Z,1928-10-29T00:00:00Z,France,Cuisery,Saulieu,
François-Joseph Heim,1787-12-16T00:00:00Z,1865-09-29T00:00:00Z,France,Belfort,6e arrondissement de Paris,
Adolphe Déchenaud,1868-06-19T00:00:00Z,1926-12-27T00:00:00Z,France,Saint-Ambreuil,Neuilly-sur-Seine,
Jean Decourt,1530-01-01T00:00:00Z,1584-01-01T00:00:00Z,France,Limoges,Paris,
Pierre-Henri de Valenciennes,1750-12-06T00:00:00Z,1819-02-16T00:00:00Z,France,Toulouse,Paris,
Charles Le Brun,1619-02-24T00:00:00Z,1690-02-12T00:00:00Z,France,Paris,Paris,baroque
Mary Cassatt,1845-05-22T00:00:00Z,1926-06-14T00:00:00Z,États-Unis,Allegheny,Le Mesnil-Théribus,impressionnisme
Quentin de La Tour,1704-10-05T00:00:00Z,1788-02-17T00:00:00Z,France,Saint-Quentin,Saint-Quentin,rococo
Charles Porphyre Alexandre Desains,1789-05-28T00:00:00Z,1862-12-14T00:00:00Z,France,Lille,Paris,
François-Nicolas Delaistre,1746-03-09T00:00:00Z,1832-04-23T00:00:00Z,France,Paris,Paris,
Leonardo da Vinci,1452-04-24T00:00:00Z,1519-05-12T00:00:00Z,République florentine,Anchiano,Amboise,Haute Renaissance
Louis Hersent,1777-03-10T00:00:00Z,1860-10-02T00:00:00Z,France,Paris,Paris,
Jacques-Édouard Gatteaux,1788-11-04T00:00:00Z,1881-02-08T00:00:00Z,France,Paris,Paris,
Jules Breton,1827-05-01T00:00:00Z,1906-07-05T00:00:00Z,France,Courrières,Paris,réalisme
Henri Mauperché,1602-01-01T00:00:00Z,1686-12-26T00:00:00Z,France,Paris,Paris,
Charles Antoine Coypel,1694-07-11T00:00:00Z,1752-06-16T00:00:00Z,France,Paris,Paris,
Charles de La Fosse,1636-06-15T00:00:00Z,1716-12-13T00:00:00Z,France,Paris,Paris,
Marguerite Gérard,1761-01-28T00:00:00Z,1837-05-18T00:00:00Z,France,Grasse,Paris,
Francis Gruber,1912-03-15T00:00:00Z,1948-12-01T00:00:00Z,France,Nancy,Paris,expressionnisme
Pierre Édouard Boyer,1865-12-24T00:00:00Z,1933-01-01T00:00:00Z,France,Paris,protectorat français de Tunisie,
Jean Ranc,1674-01-28T00:00:00Z,1735-07-01T00:00:00Z,France,Montpellier,Madrid,
André Derain,1880-06-10T00:00:00Z,1954-09-08T00:00:00Z,France,Chatou,Garches,cubisme
Roelant Savery,1576-01-01T00:00:00Z,1639-02-25T00:00:00Z,"Flandre-Occidentale,Provinces-Unies",Courtrai,Utrecht,âge d'or de la peinture néerlandaise
Emmanuel Benner,1836-03-28T00:00:00Z,1896-09-24T00:00:00Z,France,Mulhouse,Nantes,
Eva Gonzalès,1849-04-19T00:00:00Z,1883-05-05T00:00:00Z,France,Marruecos,Paris,impressionnisme
Giorgio Vasari,1511-08-09T00:00:00Z,1574-07-07T00:00:00Z,Italie,Arezzo,Florence,Renaissance
Eugène Carrière,1849-01-16T00:00:00Z,1906-03-27T00:00:00Z,France,Gournay-sur-Marne,Paris,symbolisme
Alexis Simon Belle,1674-01-12T00:00:00Z,1734-11-21T00:00:00Z,France,Paris,Paris,
Jean-Augustin Franquelin,1798-09-01T00:00:00Z,1839-01-04T00:00:00Z,France,Paris,Paris,
Pierre Maurois,,,France,,,
Antoine Watteau,1684-10-10T00:00:00Z,1721-07-18T00:00:00Z,"France,royaume de France",Valenciennes,Nogent-sur-Marne,rococo
Alfred Arthur Brunel-Neuville,1852-12-02T00:00:00Z,1941-02-05T00:00:00Z,France,Paris,Paris,
Auguste Truphème,1836-01-23T00:00:00Z,1898-06-11T00:00:00Z,France,Aix-en-Provence,Paris,
Noël Hallé,1711-09-02T00:00:00Z,1781-06-05T00:00:00Z,France,Paris,Paris,
François de Troy,1645-02-01T00:00:00Z,1730-05-01T00:00:00Z,France,Toulouse,Paris,
André Léveillé,1880-05-09T00:00:00Z,1962-12-24T00:00:00Z,France,Lille,Paris,
Camille-Félix Bellanger,,,France,,,art académique
Jacques-Philippe Bouchardon,1711-05-01T00:00:00Z,1753-12-19T00:00:00Z,France,Chaumont,Stockholm,
Sébastien Bourdon,1616-02-02T00:00:00Z,1671-05-08T00:00:00Z,France,Montpellier,Paris,
Johan August Strindberg,1849-01-22T00:00:00Z,1912-05-14T00:00:00Z,Suède,Storkyrkoförsamlingen,paroisse Adolphe-Frédéric,naturalisme
Diogène Maillart,1840-10-28T00:00:00Z,1926-07-31T00:00:00Z,France,Lachaussée-du-Bois-d'Écu,6e arrondissement de Paris,
François Watteau,1758-08-18T00:00:00Z,1823-12-01T00:00:00Z,France,Valenciennes,Lille,
Antonin Moine,1796-06-30T00:00:00Z,1849-03-18T00:00:00Z,France,Saint-Étienne,Paris,romantisme
Olga Boznańska,1865-04-15T00:00:00Z,1940-10-26T00:00:00Z,"Autriche-Hongrie,Deuxième République de Pologne",Cracovie,Paris,
Gustave Fayet,1865-05-20T00:00:00Z,1925-09-24T00:00:00Z,France,Béziers,Carcassonne,
Merry-Joseph Blondel,1781-07-25T00:00:00Z,1853-06-12T00:00:00Z,France,Paris,Paris,néo-classicisme
Antoine Monnoyer,1671-01-01T00:00:00Z,1747-01-01T00:00:00Z,France,Paris,Saint-Germain-en-Laye,
Charles Angrand,1854-04-19T00:00:00Z,1926-04-01T00:00:00Z,France,Criquetot-sur-Ouville,Rouen,symbolisme
André Lhote,1885-07-05T00:00:00Z,1962-01-25T00:00:00Z,France,Bordeaux,Paris,
Jean Siméon Chardin,1699-11-02T00:00:00Z,1779-12-06T00:00:00Z,France,Paris,Paris,
Victor Vasarely,1908-04-09T00:00:00Z,1997-03-15T00:00:00Z,"France,royaume de Hongrie",Pécs,Paris,op art
趙無極,1920-02-01T00:00:00Z,2013-04-09T00:00:00Z,"France,République de Chine",Pékin,Nyon,
Jean-Désiré Ringel d'Illzach,1849-09-29T00:00:00Z,1916-07-28T00:00:00Z,France,Illzach,Strasbourg,
Germain David-Nillet,1861-12-04T00:00:00Z,1932-10-12T00:00:00Z,France,Paris,Paris,
Charles Antoine Callamard,1776-01-01T00:00:00Z,1815-08-16T00:00:00Z,France,Paris,Paris,
Victor Brauner,1903-06-15T00:00:00Z,1966-03-12T00:00:00Z,"France,Roumanie",Piatra Neamț,Paris,surréalisme
Armand Guillaumin,1841-02-16T00:00:00Z,1927-06-26T00:00:00Z,France,Paris,Orly,impressionnisme
Johann Rudolf Huber,1668-04-21T00:00:00Z,1748-02-28T00:00:00Z,Suisse,Bâle,Bâle,
Pierre Mignard,1612-11-17T00:00:00Z,1695-05-30T00:00:00Z,France,Troyes,Paris,classicisme
François Perrier,1594-01-01T00:00:00Z,1649-11-02T00:00:00Z,France,Pontarlier,Paris,
Jean-Victor Bertin,1767-03-20T00:00:00Z,1842-06-11T00:00:00Z,France,Paris,Paris,
Antonin Mercié,1845-10-30T00:00:00Z,1916-12-13T00:00:00Z,France,Toulouse,Paris,
Josse Lieferinxe,1500-01-01T00:00:00Z,1508-01-01T00:00:00Z,France,Enghien,Marseille,
Jean-Charles Langlois,1789-07-22T00:00:00Z,1870-03-23T00:00:00Z,France,Beaumont-en-Auge,8e arrondissement de Paris,orientalisme
Élisabeth-Sophie Chéron,1648-10-03T00:00:00Z,1711-09-03T00:00:00Z,France,Paris,Paris,musique classique
Alexis-Joseph Mazerolle,1826-06-29T00:00:00Z,1889-05-29T00:00:00Z,France,Paris,Paris,
Jean-Honoré Fragonard,1732-04-05T00:00:00Z,1806-08-22T00:00:00Z,"France,Monarchie constitutionnelle française",Grasse,Paris,rococo
Georges Rouget,1783-08-26T00:00:00Z,1869-04-09T00:00:00Z,France,Paris,Paris,néo-classicisme
Ferdinand Wachsmuth,1802-03-21T00:00:00Z,1869-11-14T00:00:00Z,France,Mulhouse,Versailles,
Ernest Augustin Gendron,1817-03-17T00:00:00Z,1881-07-11T00:00:00Z,France,Paris,Paris,
Jacques Gamelin,1738-10-03T00:00:00Z,1803-10-14T00:00:00Z,France,Carcassonne,Carcassonne,
Alexandre-Hyacinthe Dunouy,1757-03-11T00:00:00Z,1841-11-11T00:00:00Z,France,Paris,Jouy-en-Josas,
Gabriel-François Doyen,1726-05-20T00:00:00Z,1806-03-13T00:00:00Z,France,Paris,Saint-Pétersbourg,
Jean-Charles Cazin,1841-05-25T00:00:00Z,1901-03-26T00:00:00Z,France,Samer,Le Lavandou,Naturalisme
Hans Holbein,1497-01-01T00:00:00Z,1543-12-09T00:00:00Z,Allemagne,Augsbourg,Londres,Renaissance allemande
Alexandre Hesse,1806-12-30T00:00:00Z,1879-08-07T00:00:00Z,France,Paris,Paris,
Jean II Restout,1692-03-26T00:00:00Z,1768-01-01T00:00:00Z,France,Rouen,Paris,rococo
Jules Laurens,1825-07-25T00:00:00Z,1901-05-05T00:00:00Z,France,Carpentras,Saint-Didier,orientalisme
Évariste-Vital Luminais,1821-10-13T00:00:00Z,1896-05-14T00:00:00Z,France,Nantes,Paris,
Frank Myers Boggs,1855-12-06T00:00:00Z,1926-08-08T00:00:00Z,France,Springfield,Meudon,
Claude-François Vignon,1634-10-01T00:00:00Z,1703-02-27T00:00:00Z,France,Paris,Paris,
François Barois,1656-01-01T00:00:00Z,1726-10-10T00:00:00Z,France,Paris,Paris,
Jean-Victor Schnetz,1787-04-14T00:00:00Z,1870-03-15T00:00:00Z,France,Versailles,Paris,
Paul César Helleu,1859-12-17T00:00:00Z,1927-03-23T00:00:00Z,France,Vannes,7e arrondissement de Paris,impressionnisme
François Bouchot,1800-11-29T00:00:00Z,1842-02-07T00:00:00Z,France,Paris,Paris,
Aubin Vouet,1595-06-13T00:00:00Z,1641-05-01T00:00:00Z,France,Paris,Paris,
Arnold Böcklin,1827-10-16T00:00:00Z,1901-01-16T00:00:00Z,Suisse,Bâle,couvent San Domenico,symbolisme
Laurent Marqueste,1848-06-12T00:00:00Z,1920-04-05T00:00:00Z,France,Toulouse,Paris,
Nicolas Gosse,1787-10-02T00:00:00Z,1878-02-09T00:00:00Z,France,Paris,Soncourt-sur-Marne,
Henri Le Sidaner,1862-08-07T00:00:00Z,1939-07-16T00:00:00Z,France,Port-Louis,Paris,Colonie artistique d'Étaples
Clodion,1738-12-20T00:00:00Z,1814-03-29T00:00:00Z,France,Nancy,Paris,
François de Nomé,1593-01-01T00:00:00Z,1644-01-01T00:00:00Z,France,Metz,Naples,
François Marius Granet,1775-12-17T00:00:00Z,1849-11-21T00:00:00Z,France,Aix-en-Provence,Aix-en-Provence,néo-classicisme
Charles de Steuben,1788-04-18T00:00:00Z,1856-11-21T00:00:00Z,"France,Allemagne",Bauerbach,Paris,
Eugène-André Oudiné,1810-01-01T00:00:00Z,1887-04-11T00:00:00Z,France,Paris,6e arrondissement de Paris,
Edgar Degas,1834-07-19T00:00:00Z,1917-09-27T00:00:00Z,France,Paris,Paris,impressionnisme
André Dauchez,1870-05-17T00:00:00Z,1948-05-15T00:00:00Z,France,7e arrondissement de Paris,7e arrondissement de Paris,
Ernest Michel,1833-07-30T00:00:00Z,1902-05-28T00:00:00Z,France,Montpellier,Montpellier,
Antoine-Louis Barye,1795-09-24T00:00:00Z,1875-06-25T00:00:00Z,France,Paris,4e arrondissement de Paris,
Jehan Perréal,1450-01-01T00:00:00Z,1530-01-01T00:00:00Z,royaume de France,Lyon,Paris,
Claude Gillot,1673-04-28T00:00:00Z,1722-05-04T00:00:00Z,France,Langres,Paris,
Alfred de Dreux,1810-03-23T00:00:00Z,1860-03-05T00:00:00Z,France,Paris,Paris,
Claude Lefèbvre,1632-09-01T00:00:00Z,1675-04-25T00:00:00Z,France,Fontainebleau,Paris,
Tintoretto,1519-01-01T00:00:00Z,1594-05-31T00:00:00Z,république de Venise,Venise,Venise,maniérisme
Charles-Joseph Natoire,1700-03-03T00:00:00Z,1777-08-29T00:00:00Z,France,Nîmes,Castel Gandolfo,rococo
Guy François,1580-11-20T00:00:00Z,1650-10-05T00:00:00Z,France,Le Puy-en-Velay,Le Puy-en-Velay,
Henri Rouart,1833-10-02T00:00:00Z,1912-01-02T00:00:00Z,France,Paris,Paris,impressionnisme
Eugène Martel,1869-01-01T00:00:00Z,1947-01-01T00:00:00Z,France,Revest-du-Bion,Bollène,
Louis-Ernest Barrias,1841-04-13T00:00:00Z,1905-02-04T00:00:00Z,France,Paris,17e arrondissement de Paris,Neo-Baroque
Michelangelo Merisi da Caravaggio,1571-10-08T00:00:00Z,1610-07-18T00:00:00Z,duché de Milan,Caravaggio,Porto Ercole,baroque
Jean-Georges Vibert,1840-09-30T00:00:00Z,1902-07-26T00:00:00Z,France,Paris,9e arrondissement de Paris,art anticlérical
Louis Lafitte,1770-11-15T00:00:00Z,1828-08-03T00:00:00Z,France,Paris,Paris,
Louis-François Lejeune,1775-02-03T00:00:00Z,1848-02-29T00:00:00Z,France,Strasbourg,Toulouse,
François-Louis Dejuinne,1786-01-01T00:00:00Z,1844-01-01T00:00:00Z,France,Paris,Paris,
Henri Gervex,1852-12-10T00:00:00Z,1929-06-07T00:00:00Z,France,Montmartre,17e arrondissement de Paris,
Louis-Maurice Boutet de Monvel,1850-10-18T00:00:00Z,1913-03-16T00:00:00Z,France,Orléans,7e arrondissement de Paris,
Paul Delaroche,1797-07-17T00:00:00Z,1856-11-04T00:00:00Z,France,Paris,Paris,
Eugène Antoine Durenne,,,France,,,postimpressionnisme
Jacques-François Delyen,1684-07-20T00:00:00Z,1761-03-03T00:00:00Z,comté de Flandre,Gand,Paris,
François Quesnel,1542-01-01T00:00:00Z,1619-01-01T00:00:00Z,France,Édimbourg,Paris,
Jean-Baptiste Debret,1768-04-18T00:00:00Z,1848-06-28T00:00:00Z,France,Paris,Paris,néo-classicisme
Alexandre Séon,1855-01-01T00:00:00Z,1917-01-01T00:00:00Z,France,Chazelles-sur-Lyon,Paris,
Philippe Rousseau,1816-02-22T00:00:00Z,1887-12-05T00:00:00Z,France,Paris,Acquigny,
Antoine Guillemet,1841-06-30T00:00:00Z,1918-05-19T00:00:00Z,France,Chantilly,Mareuil,réalisme
Charles-François Daubigny,1817-02-15T00:00:00Z,1878-02-19T00:00:00Z,France,Paris,Paris,École de Barbizon
Jacques-Émile Blanche,1861-02-01T00:00:00Z,1942-09-30T00:00:00Z,France,16e arrondissement de Paris,Offranville,
Nicolas-François Gillet,1712-03-31T00:00:00Z,1791-02-07T00:00:00Z,France,Metz,Poissy,
François Flameng,1856-12-06T00:00:00Z,1923-02-28T00:00:00Z,France,Paris,11e arrondissement de Paris,
Jean Béraud,1849-01-12T00:00:00Z,1935-10-04T00:00:00Z,France,Saint-Pétersbourg,Paris,
Charles Bertier,1860-10-01T00:00:00Z,1924-07-26T00:00:00Z,France,Grenoble,Grenoble,
Guillaume Régamey,1837-09-22T00:00:00Z,1875-01-03T00:00:00Z,France,Paris,Paris,
Quentin Varin,1570-01-01T00:00:00Z,1626-01-01T00:00:00Z,France,Beauvais,Paris,
Lucas van Valckenborch,1535-01-01T00:00:00Z,1597-02-02T00:00:00Z,duché de Brabant,Louvain,Francfort-sur-le-Main,peinture baroque flamande
